VideoID_N,filename,imageID,Second,Music_Sec_N,Music_Sec,Cut,Thematic_Content,Frame,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion001.jpg,1,0.02,1,A,0,WhiteStripes, long,7,2.9032,141,42.8218,93,17.7613
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion002.jpg,2,0.03,1,A,0,WhiteStripes, long,7,6.9583,109,44.5916,93,19.5956
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion003.jpg,3,0.05,1,A,0,WhiteStripes, long,7,4.18,109,43.0102,70,17.7903
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion004.jpg,4,0.07,1,A,0,WhiteStripes, long,7,19.7455,109,47.4731,70,17.9038
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion005.jpg,5,0.08,1,A,0,WhiteStripes, long,8,29.8832,127,56.3475,93,18.3506
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion006.jpg,6,0.1,1,A,0,WhiteStripes, long,8,21.6232,109,62.8186,93,19.5391
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion007.jpg,7,0.12,1,A,0,WhiteStripes, long,9,56.8578,95,76.0986,93,17.5249
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion008.jpg,8,0.13,1,A,0,WhiteStripes, long,41,33.8013,18,69.9995,93,20.5147
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion009.jpg,9,0.15,1,A,0,WhiteStripes, long,242,114.5668,5,79.1504,93,23.4391
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion010.jpg,10,0.17,1,A,0,WhiteStripes, long,12,113.3724,63,79.0293,93,24.7047
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion011.jpg,11,0.18,1,A,0,WhiteStripes, median,9,87.9214,109,79.8074,93,27.5156
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion012.jpg,12,0.2,1,A,0,WhiteStripes, median,11,88.2351,102,77.8591,93,28.1897
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion013.jpg,13,0.22,1,A,0,WhiteStripes, close-up,9,78.6956,115,69.9896,93,27.2167
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion014.jpg,14,0.23,1,A,1,WhiteStripes, close-up,8,50.5447,141,64.1448,93,28.7908
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion015.jpg,15,0.25,1,A,1,Nirvana, long,66,23.6371,255,50.009,17,16.5515
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion016.jpg,16,0.27,1,A,1,Nirvana, long,72,36.4521,255,27.7407,17,23.6587
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion017.jpg,17,0.28,1,A,1,Nirvana, long,63,38.5611,255,31.2733,20,23.3485
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion018.jpg,18,0.3,1,A,0,Nirvana, median,51,34.1727,255,74.7372,22,39.3607
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion019.jpg,19,0.32,1,A,1,Nirvana, median,48,32.8525,255,82.5052,22,35.6974
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion020.jpg,20,0.33,1,A,0,Nirvana, median,149,61.9853,253,42.3158,20,21.3458
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion021.jpg,21,0.35,1,A,0,Nirvana, median,131,56.2055,255,43.0572,21,20.4827
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion022.jpg,22,0.37,1,A,0,Nirvana, median,133,54.1219,255,40.6586,21,23.6148
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion023.jpg,23,0.38,1,A,1,Nirvana, median,142,57.633,255,41.2072,20,24.9899
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion024.jpg,24,0.4,1,A,1,Nirvana, long,63,47.8733,255,59.6354,19,38.4699
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion025.jpg,25,0.42,1,A,0,Nirvana, median,155,55.9559,253,42.4179,20,21.5338
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion026.jpg,26,0.43,1,A,1,Nirvana, median,147,55.374,253,44.0622,21,21.8701
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion027.jpg,27,0.45,1,A,1,Nirvana, median,116,51.0118,252,43.9381,22,22.6826
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion028.jpg,28,0.47,1,A,0,Nirvana, median,22,38.5468,255,102.7448,8,52.6436
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion029.jpg,29,0.48,1,A,1,Nirvana, median,33,34.6462,255,68.4867,14,48.9047
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion030.jpg,30,0.5,1,A,0,Nirvana, median,30,35.5189,255,89.3849,17,50.6235
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion031.jpg,31,0.52,1,A,1,Nirvana, median,58,32.6536,255,50.2883,18,35.5904
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion032.jpg,32,0.53,1,A,0,Nirvana, long,52,45.3886,255,79.3965,19,36.9264
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion033.jpg,33,0.55,1,A,0,Nirvana, long,62,44.7936,255,58.4063,19,36.8803
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion034.jpg,34,0.57,1,A,1,Nirvana, long,74,44.8744,255,59.1448,19,34.6027
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion035.jpg,35,0.58,1,A,0,Nirvana, median,32,27.1083,255,91.2524,20,32.9291
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion036.jpg,36,0.6,1,A,0,Nirvana, median,32,27.6157,255,93.495,20,34.6249
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion037.jpg,37,0.62,1,A,1,Nirvana, median,34,27.5967,255,89.2347,20,33.8723
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion038.jpg,38,0.63,1,A,0,Nirvana, median,21,36.482,251,122.9094,10,32.872
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion039.jpg,39,0.65,1,A,1,Nirvana, median,49,36.159,255,110.3022,16,32.2608
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion040.jpg,40,0.67,1,A,0,Nirvana, median,123,49.9567,232,27.7115,23,22.114
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion041.jpg,41,0.68,1,A,0,Nirvana, median,109,49.5725,240,28.8264,23,21.4537
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion042.jpg,42,0.7,1,A,1,Nirvana, median,105,46.1392,247,26.1421,22,22.4426
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion043.jpg,43,0.72,1,A,0,WhiteStripes, median,13,54.3393,200,68.8525,59,51.5638
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion044.jpg,44,0.73,1,A,0,WhiteStripes, median,18,46.8687,192,71.5413,51,47.9218
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion045.jpg,45,0.75,1,A,0,WhiteStripes, median,12,59.3971,162,76.1392,85,45.5486
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion046.jpg,46,0.77,1,A,1,WhiteStripes, median,21,68.6622,150,77.7089,77,48.4632
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion047.jpg,47,0.78,2,B,1,Nirvana, median,40,44.0033,255,84.5432,16,34.8857
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion048.jpg,48,0.8,2,B,1,Nirvana, median,39,52.8681,255,78.754,14,52.4308
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion049.jpg,49,0.82,2,B,1,Nirvana, close-up,57,48.8879,255,60.0647,16,48.1572
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion050.jpg,50,0.83,2,B,0,Nirvana, close-up,58,36.2921,255,39.1469,16,60.4592
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion051.jpg,51,0.85,3,C,1,Nirvana, median,100,40.1854,252,30.0322,21,20.2024
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion052.jpg,52,0.87,3,C,0,Nirvana, median,108,54.9012,255,25.7085,20,21.2543
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion053.jpg,53,0.88,3,C,1,Nirvana, median,115,52.5618,255,27.4601,20,18.7847
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion054.jpg,54,0.9,3,C,1,Nirvana, median,59,38.6501,251,63.5775,21,28.9253
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion055.jpg,55,0.92,3,C,1,WhiteStripes, median,12,72.378,127,73.9724,93,57.5473
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion056.jpg,56,0.93,3,C,1,Nirvana, median,117,54.0704,252,26.3184,20,19.802
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion057.jpg,57,0.95,3,C,1,Nirvana, close-up,152,46.4578,255,23.6079,19,21.766
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion058.jpg,58,0.97,3,C,1,WhiteStripes, close-up,16,62.9391,180,72.1521,99,79.9216
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion059.jpg,59,0.98,3,C,1,WhiteStripes, close-up,46,83.5165,114,86.4976,112,57.507
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion060.jpg,60,1,3,C,0,Nirvana, median,108,44.2655,255,27.7168,19,21.2673
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion061.jpg,61,1.02,3,C,1,WhiteStripes, close-up,84,78.7644,207,85.158,104,90.2229
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion062.jpg,62,1.03,3,C,1,Nirvana, close-up,57,38.507,255,27.6582,18,22.5565
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion063.jpg,63,1.05,3,C,1,Nirvana, close-up,44,41.3128,255,54.8661,16,46.1802
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion064.jpg,64,1.07,3,C,1,Nirvana, median,45,43.4782,255,96.1372,16,34.4375
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion065.jpg,65,1.08,3,C,1,Nirvana, median,0,40.5261,0,126.7191,0,36.5192
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion066.jpg,66,1.1,2,B,1,WhiteStripes, close-up,64,104.9358,32,94.9881,99,48.0304
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion067.jpg,67,1.12,2,B,1,WhiteStripes, close-up,81,75.6455,182,84.2888,113,87.7122
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion068.jpg,68,1.13,2,B,0,WhiteStripes, median,9,75.0735,140,78.1075,93,40.4552
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion069.jpg,69,1.15,2,B,1,WhiteStripes, median,8,84.0466,170,95.4981,99,32.2508
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion070.jpg,70,1.17,2,B,0,WhiteStripes, close-up,13,106.9679,109,94.6816,93,39.4133
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion071.jpg,71,1.18,2,B,1,WhiteStripes, close-up,9,84.1421,109,80.5133,106,30.3018
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion072.jpg,72,1.2,2,B,1,Nirvana, close-up,111,48.9234,255,28.1875,19,19.3172
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion073.jpg,73,1.22,2,B,1,Nirvana, median,25,38.7147,255,81.502,17,55.1248
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion074.jpg,74,1.23,2,B,0,WhiteStripes, long,7,3.3498,109,49.9411,70,23.8266
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion075.jpg,75,1.25,2,B,0,WhiteStripes, long,7,7.6016,109,47.9883,93,23.8901
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion076.jpg,76,1.27,2,B,0,WhiteStripes, long,7,15.7533,102,48.8314,106,23.2215
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion077.jpg,77,1.28,2,B,1,WhiteStripes, long,7,37.8515,102,57.7056,106,24.6987
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion078.jpg,78,1.3,1,A,1,WhiteStripes, long,10,109.8269,72,85.5299,70,28.3155
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion079.jpg,79,1.32,1,A,0,WhiteStripes, long,133,112.2563,6,85.2537,85,39.1809
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion080.jpg,80,1.33,1,A,0,WhiteStripes, long,117,112.2753,10,92.3445,93,47.7526
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion081.jpg,81,1.35,1,A,1,WhiteStripes, median,13,95.1087,136,87.5568,93,57.1487
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion082.jpg,82,1.37,1,A,0,WhiteStripes, median,11,51.8065,159,70.0487,93,66.3187
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion083.jpg,83,1.38,1,A,1,WhiteStripes, median,15,58.9084,159,76.4048,93,65.8337
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion084.jpg,84,1.4,1,A,0,Nirvana, median,103,35.7381,249,30.0121,23,16.9012
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion085.jpg,85,1.42,1,A,0,Nirvana, median,96,31.8528,251,26.2113,23,20.2765
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion086.jpg,86,1.43,1,A,1,Nirvana, median,90,30.5222,252,27.1802,23,22.1363
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion087.jpg,87,1.45,1,A,1,Nirvana, close-up,142,54.9022,255,20.4093,20,22.2784
