VideoID_N,filename,imageID,Second,Music_Sec_N,Music_Sec,Cut,Thematic_Content,Frame,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev
21,Nelly_BeeGs_Lobsterdust001.jpg,1,0.02,1,A,0,Saturday_Night_Fever, close-up,156,77.3319,42,77.1853,158,27.8958
21,Nelly_BeeGs_Lobsterdust002.jpg,2,0.03,1,A,0,Saturday_Night_Fever, close-up,148,82.9004,51,68.5833,152,69.0369
21,Nelly_BeeGs_Lobsterdust003.jpg,3,0.05,1,A,1,Saturday_Night_Fever, close-up,45,82.0705,68,92.5006,134,69.0369
21,Nelly_BeeGs_Lobsterdust004.jpg,4,0.07,1,A,0,Saturday_Night_Fever, close-up,128,91.2063,49,77.9167,140,79.067
21,Nelly_BeeGs_Lobsterdust005.jpg,5,0.08,1,A,0,Saturday_Night_Fever, close-up,136,88.7439,52,67.8856,127,81.5086
21,Nelly_BeeGs_Lobsterdust006.jpg,6,0.1,1,A,0,Saturday_Night_Fever, close-up,120,88.7382,54,71.1915,116,81.5343
21,Nelly_BeeGs_Lobsterdust007.jpg,7,0.12,1,A,0,Saturday_Night_Fever, close-up,122,86.5818,62,74.5839,127,81.7694
21,Nelly_BeeGs_Lobsterdust008.jpg,8,0.13,1,A,1,Saturday_Night_Fever, close-up,113,83.2754,62,72.7911,127,80.0241
21,Nelly_BeeGs_Lobsterdust009.jpg,9,0.15,1,A,0,Nelly, median,26,43.8809,243,68.9706,163,22.5412
21,Nelly_BeeGs_Lobsterdust010.jpg,10,0.17,1,A,0,Nelly, median,26,67.7943,227,87.8279,152,50.0308
21,Nelly_BeeGs_Lobsterdust011.jpg,11,0.18,2,B,1,Saturday_Night_Fever, median,151,50.0868,156,38.8331,9,116.1812
21,Nelly_BeeGs_Lobsterdust012.jpg,12,0.2,2,B,0,Saturday_Night_Fever, median,193,50.9571,211,21.7953,6,85.542
21,Nelly_BeeGs_Lobsterdust013.jpg,13,0.22,2,B,1,Saturday_Night_Fever, median,195,54.2042,188,29.4389,5,107.9768
21,Nelly_BeeGs_Lobsterdust014.jpg,14,0.23,2,B,1,Saturday_Night_Fever, median,163,59.2866,223,41.9898,8,99.5367
21,Nelly_BeeGs_Lobsterdust015.jpg,15,0.25,2,B,1,Nelly, median,27,50.494,245,73.7909,162,31.4072
21,Nelly_BeeGs_Lobsterdust016.jpg,16,0.27,2,B,1,Nelly, close-up,76,62.4191,231,50.3401,143,69.3789
21,Nelly_BeeGs_Lobsterdust017.jpg,17,0.28,3,C,1,Nelly, close-up,124,62.3065,96,85.8585,150,57.0809
21,Nelly_BeeGs_Lobsterdust018.jpg,18,0.3,3,C,1,Nelly, close-up,61,51.8098,245,76.4982,151,40.4524
21,Nelly_BeeGs_Lobsterdust019.jpg,19,0.32,3,C,1,Nelly, close-up,49,59.0668,239,77.2408,156,53.2684
21,Nelly_BeeGs_Lobsterdust020.jpg,20,0.33,3,C,0,Nelly, close-up,29,50.6331,248,72.8588,162,23.6497
21,Nelly_BeeGs_Lobsterdust021.jpg,21,0.35,3,C,1,Nelly, close-up,201,71.2628,250,50.925,150,33.9301
21,Nelly_BeeGs_Lobsterdust022.jpg,22,0.37,3,C,1,Nelly, close-up,146,86.5092,214,49.5006,148,62.8054
21,Nelly_BeeGs_Lobsterdust023.jpg,23,0.38,3,C,1,Nelly, median,135,84.5797,212,39.892,137,73.4737
21,Nelly_BeeGs_Lobsterdust024.jpg,24,0.4,3,C,1,Nelly, median,70,88.8312,234,18.9872,154,9.79
21,Nelly_BeeGs_Lobsterdust025.jpg,25,0.42,3,C,0,Saturday_Night_Fever, median,144,62.7559,194,41.1478,11,87.7888
21,Nelly_BeeGs_Lobsterdust026.jpg,26,0.43,3,C,1,Saturday_Night_Fever, median,127,72.9664,198,48.3586,11,92.6143
21,Nelly_BeeGs_Lobsterdust027.jpg,27,0.45,3,C,1,Nelly, close-up,87,90.613,222,61.1036,150,60.4527
21,Nelly_BeeGs_Lobsterdust028.jpg,28,0.47,3,C,1,Nelly, median,121,82.5611,210,40.9587,142,73.1823
