imageID,Keywords,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev,Count,Total Area,Average Size,%Area
1,B_Instrumental_main-track,6,1.6528,85,49.0545,106,29.5308,9,163049,18116.556,88
2,G_Lyrics_complementarytrack,0,0.1438,0,18.3077,0,13.7129,0,0,0,0
3,G_Lyrics_complementarytrack,0,0.1438,0,18.3077,0,13.7129,0,0,0,0
4,G_Lyrics_complementarytrack,0,0.1438,0,18.3077,0,13.7129,0,0,0,0
5,B_Instrumental_main-track,2,0.3489,255,50.7772,106,22.2292,4,690,172.5,0
6,B_Instrumental_main-track,7,1.8903,159,38.1029,93,13.0161,2,172599,86299.5,93
7,B_Instrumental_main-track,7,2.0524,159,39.5805,93,13.434,3,172483,57494.333,93
8,B_Instrumental_main-track,7,2.1958,159,38.8273,93,13.2735,2,172702,86351,93
9,B_Instrumental_main-track,7,2.4415,159,41.3515,93,14.1478,4,173227,43306.75,93
10,B_Instrumental_main-track,7,2.752,153,40.5355,93,14.1738,2,173477,86738.5,94
11,B_Instrumental_main-track,7,3.0964,153,40.6139,93,14.2517,4,173160,43290,93
12,B_Instrumental_main-track,7,3.5322,145,40.3658,93,14.303,5,173577,34715.4,94
13,B_Instrumental_main-track,7,3.9667,141,41.3445,93,15.4401,3,174437,58145.667,94
14,B_Instrumental_main-track,7,4.4724,141,41.5601,93,15.4396,3,174500,58166.667,94
15,B_Instrumental_main-track,7,4.9756,141,41.6351,93,15.5258,3,174551,58183.667,94
16,B_Instrumental_main-track,7,5.5771,127,41.6669,93,15.4496,1,171156,171156,92
17,B_Instrumental_main-track,7,6.2691,127,43.2101,93,16.2673,1,171278,171278,92
18,B_Instrumental_main-track,7,6.5821,127,43.5599,93,16.2724,2,171305,85652.5,92
19,B_Instrumental_main-track,7,6.8129,127,43.4608,93,16.1964,2,171249,85624.5,92
20,B_Instrumental_main-track,7,6.9172,127,43.6989,93,16.3473,2,171281,85640.5,92
21,B_Instrumental_main-track,7,6.7869,127,40.6278,70,13.553,18,168833,9379.611,91
22,B_Instrumental_main-track,7,6.9384,127,40.7266,70,13.8059,18,169247,9402.611,91
23,B_Instrumental_main-track,7,6.94,127,40.9496,70,13.7025,17,169139,9949.353,91
24,B_Instrumental_main-track,7,6.7974,127,40.8553,70,13.7668,15,169828,11321.867,92
25,B_Instrumental_main-track,7,6.589,127,41.0355,70,13.9386,10,170393,17039.3,92
26,B_Instrumental_main-track,7,6.3668,127,40.7699,70,13.7205,10,170274,17027.4,92
27,B_Instrumental_main-track,7,5.9641,127,40.7715,70,13.4978,10,170243,17024.3,92
28,B_Instrumental_main-track,7,5.6174,109,41.3815,70,14.0107,10,170790,17079,92
29,B_Instrumental_main-track,7,5.2535,109,42.1916,70,14.9186,11,171054,15550.364,92
30,B_Instrumental_main-track,7,4.6568,109,41.964,70,14.8108,11,170709,15519,92
31,B_Instrumental_main-track,7,4.0656,109,41.536,70,14.4785,11,170899,15536.273,92
32,B_Instrumental_main-track,7,4.8346,109,41.943,70,14.522,11,170896,15536,92
33,B_Instrumental_main-track,7,5.9525,109,42.4666,70,14.5636,12,170900,14241.667,92
34,B_Instrumental_main-track,7,7.3793,109,42.7067,70,14.4683,12,170831,14235.917,92
35,B_Instrumental_main-track,7,8.6554,109,43.0946,70,14.4264,8,149753,18719.125,81
36,B_Instrumental_main-track,7,10.3965,109,43.6624,70,14.4912,9,148791,16532.333,80
37,B_Instrumental_main-track,7,12.0258,109,44.6197,70,15.0522,11,148810,13528.182,80
38,B_Instrumental_main-track,7,13.9605,109,45.2888,70,15.066,1,6248,6248,3
39,B_Instrumental_main-track,7,15.7762,109,45.6488,70,14.7308,1,6931,6931,4
40,B_Instrumental_main-track,7,18.1155,109,46.2986,70,14.7351,1,7664,7664,4
41,B_Instrumental_main-track,8,20.9743,159,47.5621,93,12.5541,1,8536,8536,5
42,B_Instrumental_main-track,8,22.8029,159,48.3119,93,12.7024,1,9411,9411,5
43,B_Instrumental_main-track,8,25.8355,159,48.9517,93,12.8379,1,10526,10526,6
44,B_Instrumental_main-track,7,28.3696,153,50.209,93,13.4328,1,11483,11483,6
45,B_Instrumental_main-track,8,31.703,159,51.549,93,13.3469,1,12712,12712,7
46,B_Instrumental_main-track,8,32.4291,145,51.9734,93,13.1684,1,13788,13788,7
47,B_Instrumental_main-track,8,32.1777,141,52.6555,93,13.2766,1,15076,15076,8
48,B_Instrumental_main-track,8,31.8663,141,53.5761,93,13.5469,1,16437,16437,9
49,B_Instrumental_main-track,8,31.3935,141,54.4149,93,13.7315,1,17816,17816,10
50,B_Instrumental_main-track,8,30.5391,141,55.1165,93,13.8037,1,19470,19470,11
51,B_Instrumental_main-track,8,29.5001,141,55.9452,93,13.9183,1,20961,20961,11
52,B_Instrumental_main-track,8,28.6744,141,56.5266,93,14.0622,1,22950,22950,12
53,B_Instrumental_main-track,8,27.6939,141,57.3863,93,14.2224,1,24575,24575,13
54,B_Instrumental_main-track,8,26.1751,127,57.7566,93,14.4364,3,20274,6758,11
55,B_Instrumental_main-track,8,24.2902,127,58.0053,93,14.52,3,21723,7241,12
56,B_Instrumental_main-track,8,22.425,127,59.2435,93,15.3224,3,23420,7806.667,13
57,B_Instrumental_main-track,8,20.5481,127,59.4641,93,14.8354,3,25259,8419.667,14
58,B_Instrumental_main-track,8,18.9515,127,59.4292,93,15.1083,3,27020,9006.667,15
59,B_Instrumental_main-track,8,17.0964,127,59.6702,93,14.4337,6,25534,4255.667,14
60,B_Instrumental_main-track,8,19.7315,127,60.9471,93,14.3954,4,30254,7563.5,16
61,B_Instrumental_main-track,8,23.1016,141,62.1895,93,9.7189,3,33641,11213.667,18
62,B_Instrumental_main-track,8,25.0938,141,64.8591,93,10.9262,3,35670,11890,19
63,B_Instrumental_main-track,8,28.2372,141,67.3877,93,11.467,6,37101,6183.5,20
64,B_Instrumental_main-track,8,32.116,141,68.8495,93,11.4214,5,38927,7785.4,21
65,B_Instrumental_main-track,8,35.4602,141,70.8148,93,11.9202,2,32985,16492.5,18
66,B_Instrumental_main-track,8,38.9802,141,72.5899,93,12.7029,2,35778,17889,19
67,B_Instrumental_main-track,8,42.3704,127,74.1229,93,13.186,2,38199,19099.5,21
68,B_Instrumental_main-track,8,46.8194,127,75.6754,93,14.5285,3,41472,13824,22
69,B_Instrumental_main-track,8,50.1127,109,76.8218,93,14.149,3,44070,14690,24
70,B_Instrumental_main-track,9,54.2217,109,77.3755,93,13.3379,14,53044,3788.857,29
71,B_Instrumental_main-track,9,57.9964,98,78.1207,85,12.9052,11,60690,5517.273,33
72,B_Instrumental_main-track,9,62.3827,95,78.1014,93,12.5221,3,53883,17961,29
73,B_Instrumental_main-track,9,60.0741,95,79.0047,70,12.5904,5,71253,14250.6,38
74,B_Instrumental_main-track,9,57.0945,95,79.0809,70,12.5855,6,76153,12692.167,41
75,B_Instrumental_main-track,9,53.6298,85,79.3429,85,13.0485,4,64413,16103.25,35
76,B_Instrumental_main-track,10,50.9291,69,81.4817,93,14.2832,6,84399,14066.5,46
77,B_Instrumental_main-track,23,47.4344,36,79.3134,93,13.126,5,71670,14334,39
78,B_Instrumental_main-track,46,43.8362,26,79.3714,93,13.2347,9,75026,8336.222,40
79,B_Instrumental_main-track,43,39.2525,17,76.493,85,14.0193,7,79267,11323.857,43
80,B_Instrumental_main-track,42,36.1965,18,74.6593,70,15.3242,1,185280,185280,100
81,B_Instrumental_main-track,38,32.2723,20,76.0488,93,15.2018,1,185280,185280,100
82,B_Instrumental_main-track,36,28.608,20,73.8823,93,13.7983,1,185280,185280,100
83,B_Instrumental_main-track,34,25.3516,20,72.692,85,15.3998,1,185280,185280,100
84,B_Instrumental_main-track,185,112.6836,5,92.7968,70,16.3623,1,185280,185280,100
85,B_Instrumental_main-track,239,113.0795,5,88.5302,70,17.3263,1,185280,185280,100
86,B_Instrumental_main-track,245,112.6421,5,86.6808,70,18.5943,1,185280,185280,100
87,B_Instrumental_main-track,247,112.7606,5,85.2215,70,19.5939,1,185280,185280,100
88,B_Instrumental_main-track,247,112.9624,5,84.5289,70,19.9285,1,185280,185280,100
89,B_Instrumental_main-track,247,113.3255,5,85.0892,85,20.1774,1,185280,185280,100
90,B_Instrumental_main-track,247,114.1824,5,86.0876,85,18.6418,1,185280,185280,100
91,B_Instrumental_main-track,236,114.6977,5,85.3013,93,18.3488,1,185280,185280,100
92,B_Instrumental_main-track,201,115.4515,5,85.9797,93,18.2147,1,185280,185280,100
93,B_Instrumental_main-track,138,115.7061,5,85.4387,93,18.1021,1,185280,185280,100
94,B_Instrumental_main-track,120,115.8225,6,86.9356,93,18.8306,1,185280,185280,100
95,B_Instrumental_main-track,118,115.5089,6,85.2248,93,21.6174,1,185280,185280,100
96,B_Instrumental_main-track,116,114.953,8,84.2075,93,22.3976,1,185280,185280,100
97,B_Instrumental_main-track,87,115.2127,11,84.1771,93,23.381,18,82241,4568.944,44
98,B_Instrumental_main-track,57,114.9324,19,82.7261,93,23.9925,19,79210,4168.947,43
99,B_Instrumental_main-track,27,114.7207,38,82.3056,93,22.0542,19,74991,3946.895,40
100,B_Instrumental_main-track,16,113.5528,56,81.7336,93,20.3159,18,71195,3955.278,38
101,B_Instrumental_main-track,10,113.03,72,83.7707,93,24.5799,20,66255,3312.75,36
102,B_Instrumental_main-track,9,110.4317,80,80.6287,93,24.8773,19,62269,3277.316,34
103,B_Instrumental_main-track,9,108.6146,85,80.781,93,26.3477,25,57940,2317.6,31
104,B_Instrumental_main-track,10,105.555,74,81.7626,93,29.5725,24,54470,2269.583,29
105,B_Instrumental_main-track,10,103.503,85,84.6102,93,32.3341,26,52337,2012.962,28
106,B_Instrumental_main-track,10,100.985,95,86.7568,93,31.5262,29,48449,1670.655,26
107,B_Instrumental_main-track,10,98.1926,109,86.277,93,30.8286,29,45554,1570.828,25
108,B_Instrumental_main-track,9,95.8069,109,84.0307,93,29.0147,36,40919,1136.639,22
109,B_Instrumental_main-track,9,91.9103,109,82.0733,93,27.5914,33,38334,1161.636,21
110,B_Instrumental_main-track,9,90.0183,109,82.9661,93,25.3253,37,34678,937.243,19
111,B_Instrumental_main-track,9,86.9252,109,82.1689,93,23.9632,48,38044,792.583,21
112,B_Instrumental_main-track,9,86.1561,109,80.4363,93,24.3048,57,36951,648.263,20
113,B_Instrumental_main-track,9,85.1535,109,80.5601,93,26.6504,51,38168,748.392,21
