imageID,Keywords,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev,Count,Total Area,Average Size,%Area
1,B_Instrumental_main-track,5,2.7883,191,50.7813,93,18.1946,7,162381,23197.286,93.97
2,B_Instrumental_main-track,5,6.9411,153,53.7838,93,19.9732,4,163352,40838,94.532
3,B_Instrumental_main-track,5,4.1478,153,50.2653,70,18.0971,2,163184,81592,94.435
4,B_Instrumental_main-track,5,19.7826,153,56.5918,70,17.9257,1,7672,7672,4.44
5,B_Instrumental_main-track,5,30.0135,182,68.8659,70,16.9278,1,19053,19053,11.026
6,B_Instrumental_main-track,6,21.8197,153,79.0076,85,18.193,3,29641,9880.333,17.153
7,B_Instrumental_main-track,7,56.9729,127,95.301,70,17.5885,9,56327,6258.556,32.597
8,B_Instrumental_main-track,39,34.0006,19,88.4643,85,21.1651,14,79605,5686.071,46.068
9,B_Instrumental_main-track,240,114.6608,5,95.0108,85,22.2822,1,172800,172800,100
10,B_Instrumental_main-track,11,113.4991,63,93.1158,85,22.9302,19,63528,3343.579,36.764
11,B_Instrumental_main-track,7,88.0756,127,93.3019,93,27.9101,38,30886,812.789,17.874
12,B_Instrumental_main-track,9,88.3291,123,89.0619,93,29.7999,59,39354,667.017,22.774
13,B_Instrumental_main-track,7,78.8379,153,80.6197,93,28.621,43,24182,562.372,13.994
14,B_Instrumental_main-track,6,50.6624,153,75.9748,93,31.1673,15,10096,673.067,5.843
15,G_Lyrics_complementarytrack,65,23.1998,255,20.293,16,31.3201,10,130417,13041.7,75.473
16,G_Lyrics_complementarytrack,71,36.2268,255,19.1917,16,27.6423,20,91764,4588.2,53.104
17,G_Lyrics_complementarytrack,62,38.4691,255,25.5514,19,26.6173,12,84109,7009.083,48.674
18,G_Lyrics_complementarytrack,50,33.8641,252,73.6027,21,44.9397,20,87345,4367.25,50.547
19,G_Lyrics_complementarytrack,47,32.5119,255,76.63,21,42.9431,20,85957,4297.85,49.744
20,Y_Special effects_titles,148,61.5056,253,36.6764,20,24.7441,68,45977,676.132,26.607
21,Y_Special effects_titles,131,55.7606,253,37.3284,20,25.1358,74,34290,463.378,19.844
22,Y_Special effects_titles,133,53.7769,253,36.3064,20,26.9733,63,34583,548.937,20.013
23,Y_Special effects_titles,141,57.3237,253,37.4725,20,26.7333,81,35359,436.531,20.462
24,Y_Special effects_titles,62,47.767,255,64.0522,18,30.9743,97,56490,582.371,32.691
25,Y_Special effects_titles,154,55.5923,253,37.0711,20,25.6188,113,35459,313.796,20.52
26,Y_Special effects_titles,146,54.9755,252,38.6249,20,26.4085,135,32865,243.444,19.019
27,Y_Special effects_titles,115,50.6569,252,38.1754,21,25.9407,119,26137,219.639,15.126
28,Y_Special effects_titles,21,38.2276,255,101.0835,7,61.9574,166,5923,35.681,3.428
29,Y_Special effects_titles,32,34.479,255,77.9824,12,54.7645,167,31970,191.437,18.501
30,B_Instrumental_main-track,29,35.3381,255,91.511,16,57.9869,9,77325,8591.667,44.748
31,G_Lyrics_complementarytrack,57,32.4898,255,46.9225,17,46.1355,5,105593,21118.6,61.107
32,B_Instrumental_main-track,51,45.1623,255,77.2044,18,49.7811,16,76244,4765.25,44.123
33,B_Instrumental_main-track,60,44.6264,255,59.5499,18,47.4938,13,81827,6294.385,47.354
34,R_Video_footage_overlaps,72,44.6361,255,57.6464,19,44.2772,22,89308,4059.455,51.683
35,G_Lyrics_complementarytrack,31,26.6991,255,84.2326,19,42.431,26,60802,2338.538,35.186
36,G_Lyrics_complementarytrack,30,27.1615,255,87.7433,19,40.6864,27,59986,2221.704,34.714
37,G_Lyrics_complementarytrack,32,27.2662,255,82.9446,19,36.3616,20,60183,3009.15,34.828
38,G_Lyrics_complementarytrack,20,35.9544,247,120.7124,10,38.7863,6,73346,12224.333,42.446
39,G_Lyrics_complementarytrack,48,35.7189,251,108.0709,16,40.0156,8,90183,11272.875,52.189
40,G_Lyrics_complementarytrack,122,49.5469,234,20.6234,23,24.7934,6,86730,14455,50.191
41,G_Lyrics_complementarytrack,108,49.2036,242,20.2657,23,24.2753,12,67971,5664.25,39.335
42,G_Lyrics_complementarytrack,103,45.6331,247,19.5147,22,24.2561,9,70156,7795.111,40.6
43,B_Instrumental_main-track,12,54.4366,214,71.7623,51,52.4955,11,8365,760.455,4.841
44,B_Instrumental_main-track,17,46.8683,208,71.5609,51,49.4836,24,8394,349.75,4.858
45,B_Instrumental_main-track,11,59.4737,175,80.0096,85,46.7147,12,14997,1249.75,8.679
46,B_Instrumental_main-track,20,68.7747,159,83.918,70,49.8642,14,23278,1662.714,13.471
47,G_Lyrics_complementarytrack,39,43.814,255,80.2113,15,46.9602,21,52298,2490.381,30.265
48,B_Instrumental_main-track,38,52.7121,255,77.8809,13,59.2138,11,12433,1130.273,7.195
